"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(ElectroPuls (0,1) Waveform)","Position(ElectroPuls (0,1):Position) (mm)","Load(ElectroPuls (0,1):Load) (N)","Displacement(ElectroPuls (0,1):Digital Position) (mm)",
1220,976,1,1,2,1,-5.00062856330943,3.49852233193815,-1.09305032954629,
1224,980,1,1,2,1,-5.00072556986654,3.49082564935088,-1.09308720991944,
1228,984,1,1,2,1,-5.00048551216531,3.49508854560554,-1.09308720991944,
1232,988,1,1,2,1,-5.00058654203585,3.49636236205697,-1.09308720991944,
1236,992,1,1,2,1,-5.00062409296118,3.49110085517168,-1.09305032954629,
1240,996,1,1,2,1,-5.00067237272232,3.49571625702083,-1.09305032954629,
1244,1000,1,1,2,1,-5.00045600786683,3.491923911497,-1.09305032954629,
1248,1004,1,1,2,1,-5.00070768847353,3.49243101663888,-1.09305032954629,
1252,1008,1,1,2,1,-5.00074881567746,3.4956019371748,-1.09305032954629,
1256,1012,1,1,2,1,-5.00074702753816,3.49066429771483,-1.09305032954629,
1260,1016,1,1,2,1,-5.00056374325975,3.48817254416645,-1.09304630623285,
1264,1020,1,1,2,1,-5.00057626023486,3.49530973471701,-1.09304630623285,
1268,1024,1,1,2,1,-5.00076222672222,3.48881166428328,-1.09304630623285,
1272,1028,1,1,2,1,-5.00059548273235,3.48693365231156,-1.09315895900904,
1276,1032,1,1,2,1,-5.00048059478223,3.48947872407734,-1.09315895900904,
1280,1036,1,1,2,1,-5.00080648316994,3.48950433544815,-1.09315627680008,
1284,1040,1,1,2,1,-5.00036481276246,3.48476227372885,-1.09316018835481,
1288,1044,1,1,2,1,-5.00059727087166,3.49136558361351,-1.09316018835481,
1292,1048,1,1,2,1,-5.00035721317042,3.48929245956242,-1.0931617529767,
1296,1052,1,1,2,1,-5.00066700830442,3.48774972371757,-1.0931617529767,
1300,1056,1,1,2,1,-5.00056910767766,3.48970293998718,-1.09315974131998,
1304,1060,1,1,2,1,-5.00064778580692,3.48351430147886,-1.09315974131998,
1308,1064,1,1,2,1,-5.00044036164795,3.48830642178655,-1.09315974131998,
1312,1068,1,1,2,1,-5.00044349089172,3.48861888051033,-1.09305032954629,
1316,1072,1,1,2,1,-5.00036615386693,3.48375923931599,-1.09315974131998,
1320,1076,1,1,2,1,-5.00046897187677,3.49145918153226,-1.09315974131998,
1324,1080,1,1,2,1,-5.00071126475213,3.4842190798372,-1.0942583294052,
1328,1084,1,1,2,1,-5.00051367535931,3.48323094658554,-1.0942583294052,
1332,1088,1,1,2,1,-5.00045421972753,3.48816276527941,-1.09320042148916,
1336,1092,1,1,2,1,-5.0007108177173,3.48318717442453,-1.09305032954629,
1340,1096,1,1,2,1,-5.00037151828484,3.48302349448204,-1.09305032954629,
